iter	Logloss
0	0.6719253628
1	0.6551211359
2	0.6404610845
3	0.6271310734
4	0.6122750639
5	0.6005789575
6	0.5911957364
7	0.5815641612
8	0.5728995325
9	0.5660748759
10	0.5595534595
11	0.5525450426
12	0.5456632779
13	0.5384227506
14	0.5332492456
15	0.5277155857
16	0.5227732375
17	0.5174078208
18	0.5129902256
19	0.5086117682
20	0.5039946126
21	0.4998489522
22	0.4960726416
23	0.4921950176
24	0.4875633517
25	0.4839746929
26	0.4809441242
27	0.4775125353
28	0.4745058501
29	0.4713608179
30	0.4684029348
31	0.4649283645
32	0.4618810187
33	0.4591463589
34	0.4555938738
35	0.4529438394
36	0.4503951721
37	0.4479634147
38	0.445696181
39	0.4433195245
40	0.4409841839
41	0.4389935803
42	0.4368132351
43	0.4347617735
44	0.4326645044
45	0.4306183271
46	0.4284220705
47	0.4261836047
48	0.4243226428
49	0.4220982193
50	0.4204953555
51	0.4188554108
52	0.4172606181
53	0.4155890079
54	0.413592049
55	0.411904497
56	0.4103727957
57	0.4085530346
58	0.4070787129
59	0.4057248029
60	0.4037219792
61	0.4023175489
62	0.4009599764
63	0.3993851475
64	0.3981030112
65	0.3967518208
66	0.3953451696
67	0.3940910769
68	0.3928987917
69	0.3915375032
70	0.3903674324
71	0.388712135
72	0.3873894845
73	0.3860800133
74	0.3845668184
75	0.3834053103
76	0.3819857979
77	0.3807814356
78	0.3794033088
79	0.3782785535
80	0.3770121161
81	0.3759927336
82	0.3750354255
83	0.3740224886
84	0.3730603616
85	0.3720496325
86	0.3710322817
87	0.370052993
88	0.3690844926
89	0.3680713161
90	0.3671086915
91	0.3660209544
92	0.3650124025
93	0.3640282275
94	0.3631552187
95	0.3623060855
96	0.3614637416
97	0.3606091534
98	0.3597696757
99	0.3589940799
100	0.3581766324
101	0.3574099104
102	0.3565513679
103	0.3556548012
104	0.3547875343
105	0.3540314623
106	0.3533498787
107	0.3524873861
108	0.3516350872
109	0.3507675523
110	0.3500199595
111	0.3492947061
112	0.3486411624
113	0.3479476895
114	0.3471157523
115	0.3464364641
116	0.3455827287
117	0.3448622167
118	0.3442400852
119	0.343523496
120	0.342840503
121	0.3421113369
122	0.3413954586
123	0.3408372134
124	0.340081656
125	0.3395070208
126	0.3389426729
127	0.3383236079
128	0.3376951157
129	0.3370133823
130	0.3364631123
131	0.3358670403
132	0.3352152532
133	0.3346774821
134	0.3340719409
135	0.3334644774
136	0.3328976368
137	0.3321640167
138	0.3314840521
139	0.3309393608
140	0.3303316706
141	0.3297538442
142	0.3290712042
143	0.3284408632
144	0.3278668464
145	0.3273392456
146	0.3267766489
147	0.3263313042
148	0.3258270625
149	0.3253795622
150	0.324893445
151	0.3242624114
152	0.3236810399
153	0.323233951
154	0.3227083842
155	0.3222142655
156	0.3217259446
157	0.3212507295
158	0.3207123375
159	0.3202342156
160	0.3196641835
161	0.3192039238
162	0.3186072014
163	0.3181288422
164	0.3177226581
165	0.3172709199
166	0.3167554494
167	0.3163264316
168	0.3159391448
169	0.3155174528
170	0.3150783288
171	0.3147016031
172	0.3143107393
173	0.3138855474
174	0.3134624561
175	0.3130486992
176	0.312632232
177	0.3121382005
178	0.3117445248
179	0.3113236429
180	0.3109102351
181	0.3105138685
182	0.3101263582
183	0.3096956432
184	0.3093554015
185	0.3089875127
186	0.3086442396
187	0.3082782919
188	0.3079315727
189	0.3075547186
190	0.3071567579
191	0.3067518497
192	0.3063568127
193	0.3059221607
194	0.3054720442
195	0.305140481
196	0.3048051876
197	0.3044276454
198	0.3040530694
199	0.3037268564
200	0.3033362721
201	0.3029910716
202	0.3026146333
203	0.3022402513
204	0.301846539
205	0.3015363835
206	0.3011857618
207	0.3007882542
208	0.3003558703
209	0.3000101321
210	0.2996523923
211	0.2992957448
212	0.298955354
213	0.2986254318
214	0.2981193147
215	0.2978060064
216	0.2974969006
217	0.2971993851
218	0.2968343887
219	0.2964936427
220	0.2961288078
221	0.2957960055
222	0.2954714474
223	0.2950605503
224	0.2947904506
225	0.2944448084
226	0.2941411902
227	0.2938163301
228	0.293564134
229	0.2932670738
230	0.2929805641
231	0.2926968521
232	0.2923781112
233	0.2920637537
234	0.2918004851
235	0.2915420996
236	0.2912396086
237	0.2908947951
238	0.2905885109
239	0.2902465999
240	0.2899925182
241	0.2897019465
242	0.289373571
243	0.2891118071
244	0.2888609918
245	0.2885675105
246	0.288229132
247	0.2879470082
248	0.2875975535
249	0.2873323358
250	0.2869779079
251	0.2866741132
252	0.2864025877
253	0.2861013908
254	0.2858131094
255	0.2854324124
256	0.285086973
257	0.2847600088
258	0.2844556403
259	0.2841745922
260	0.283929802
261	0.283662137
262	0.2834108382
263	0.2831527035
264	0.2827610494
265	0.2824657275
266	0.2821917314
267	0.2819291868
268	0.2816531143
269	0.2814159076
270	0.2810875567
271	0.2808474537
272	0.2804511268
273	0.2801702764
274	0.2798754077
275	0.2796075686
276	0.2793871641
277	0.2791670419
278	0.2788875585
279	0.2786362382
280	0.2783489929
281	0.2780476351
282	0.2777735486
283	0.2775126473
284	0.2772489865
285	0.2770021664
286	0.2767715896
287	0.2764695372
288	0.2762140061
289	0.2759310793
290	0.2756971032
291	0.2754237563
292	0.2751960783
293	0.2749418784
294	0.2747012963
295	0.2744538911
296	0.2742093464
297	0.2739631364
298	0.2736745972
299	0.2733434909
300	0.2731115891
301	0.2727892078
302	0.272558691
303	0.2723133544
304	0.2720850825
305	0.2718160216
306	0.2715918934
307	0.2713659051
308	0.2711291253
309	0.2709099675
310	0.2706707374
311	0.2704367724
312	0.2701857249
313	0.2699474807
314	0.2696892283
315	0.2694734227
316	0.2692588823
317	0.2690038222
318	0.2687915251
319	0.2685837396
320	0.2683720932
321	0.2681322273
322	0.2679001363
323	0.2676817191
324	0.2674736437
325	0.2672486952
326	0.267028773
327	0.266820502
328	0.2666260165
329	0.2664133229
330	0.2661900845
331	0.2659765034
332	0.2656456402
333	0.2654433225
334	0.2652258297
335	0.2650244833
336	0.2648054281
337	0.2645510857
338	0.2643754444
339	0.2641490287
340	0.2639361565
341	0.2636940599
342	0.2634286556
343	0.2632271464
344	0.2630344932
345	0.2628331897
346	0.2625975113
347	0.2623961428
348	0.2621995079
349	0.2620151979
350	0.2617800839
351	0.2615440248
352	0.2613561227
353	0.2611634237
354	0.2609516115
355	0.2607464982
356	0.2605063197
357	0.2603338253
358	0.2601478726
359	0.2599797698
360	0.2597715422
361	0.259588443
362	0.2593935745
363	0.2592020424
364	0.2589864088
365	0.2587853286
366	0.2585682491
367	0.2583817394
368	0.2582139352
369	0.2579225006
370	0.2577507056
371	0.2575807319
372	0.2574003724
373	0.2571724899
374	0.2569854688
375	0.2567999301
376	0.2566337626
377	0.2564742635
378	0.2562850401
379	0.2560848298
380	0.2559346665
381	0.2557612879
382	0.2555607494
383	0.2553752021
384	0.2551472542
385	0.2549951738
386	0.2548259977
387	0.2546398337
388	0.2544364642
389	0.2542751503
390	0.2540839788
391	0.2539078013
392	0.2536964028
393	0.2535221221
394	0.2533420496
395	0.2531491268
396	0.2529331626
397	0.2527789482
398	0.2526128453
399	0.2524547211
400	0.252242303
401	0.2520698803
402	0.2519057662
403	0.2517357797
404	0.2515521079
405	0.2513866886
406	0.251250979
407	0.2510725618
408	0.2509175399
409	0.2507757694
410	0.2506315597
411	0.2504609311
412	0.2503091282
413	0.2501096337
414	0.2498384264
415	0.2496809322
416	0.2495219954
417	0.2493416683
418	0.2491930352
419	0.2490269732
420	0.2488681006
421	0.24870093
422	0.2485603702
423	0.248421458
424	0.2482845547
425	0.2481445917
426	0.2479853341
427	0.2478379049
428	0.2476863359
429	0.2475259324
430	0.2473628534
431	0.2472105344
432	0.2470601687
433	0.2468766177
434	0.2467216933
435	0.2465555164
436	0.2463928737
437	0.2462038767
438	0.2460666202
439	0.2459153733
440	0.2457532896
441	0.2455884363
442	0.2454296354
443	0.245278842
444	0.2451371881
445	0.2450099133
446	0.2448432215
447	0.2447012673
448	0.2445485228
449	0.2444073959
450	0.2442653873
451	0.2441243037
452	0.243989281
453	0.2438395864
454	0.2436920743
455	0.2435258198
456	0.24340209
457	0.2432267938
458	0.2430933772
459	0.2429487578
460	0.2427987972
461	0.2426545985
462	0.2425005821
463	0.2423766757
464	0.2422313116
465	0.2420957952
466	0.2419291533
467	0.2417886892
468	0.2416522838
469	0.241534071
470	0.2413976737
471	0.2412850801
472	0.2411199131
473	0.2409852086
474	0.2408520282
