iter	Passed	Remaining
0	7398	14790390
1	13034	13021038
2	22328	14863246
3	27949	13946697
4	31409	12532204
5	34351	11416137
6	37411	10651475
7	40468	10076699
8	44274	9794521
9	47939	9540043
10	52029	9407907
11	55751	9236093
12	59181	9045639
13	61942	8787007
14	64677	8558997
15	67124	8323461
16	69549	8112736
17	71996	7927576
18	74547	7772562
19	76891	7612249
20	79409	7483424
21	81864	7360394
22	84416	7256159
23	86977	7161118
24	89313	7055753
25	91984	6983768
26	94849	6931021
27	97683	6879680
28	100666	6841853
29	103642	6805846
30	106620	6772147
31	109239	6718205
32	111901	6670004
33	114507	6621238
34	117006	6569061
35	119890	6540715
36	122493	6498790
37	125099	6459099
38	127793	6425707
39	130252	6382370
40	132936	6351754
41	135815	6331576
42	138757	6315084
43	141608	6295127
44	144761	6289087
45	147676	6273022
46	150391	6249252
47	152920	6218762
48	155475	6190445
49	157916	6158748
50	160587	6136967
51	163154	6112007
52	165770	6089707
53	168276	6064195
54	170958	6045708
55	173668	6028769
56	176603	6019997
57	179324	6004292
58	182448	6002251
59	185686	6003857
60	188632	5996050
61	191702	5992248
62	194346	5975392
63	196916	5956738
64	199280	5932440
65	201632	5908442
66	204057	5887222
67	206536	5868069
68	208986	5848594
69	211415	5829022
70	214017	5814638
71	216454	5796168
72	219286	5788568
73	222179	5782673
74	225223	5780724
75	228247	5778263
76	230499	5756492
77	233117	5744246
78	235576	5728379
79	237963	5711124
80	240337	5693922
81	242789	5678896
82	245177	5662718
83	247735	5650737
84	250170	5636186
85	252652	5622990
86	255288	5613416
87	258172	5609389
88	261114	5606631
89	263983	5602316
90	266891	5598853
91	269400	5587123
92	272157	5580691
93	274831	5572646
94	277248	5559558
95	279822	5549811
96	282340	5539103
97	284651	5524563
98	286961	5510247
99	289366	5497955
100	291754	5485568
101	294285	5476021
102	297031	5470571
103	299916	5467704
104	302745	5463839
105	305764	5463368
106	308505	5457944
107	311290	5453356
108	313928	5446220
109	316152	5432074
110	318580	5421604
111	321115	5413084
112	323618	5404139
113	325880	5391328
114	328309	5381423
115	330685	5370786
116	333185	5362290
117	335599	5352530
118	338204	5345906
119	341124	5344287
120	344171	5344620
121	346887	5339797
122	349377	5331563
123	351977	5325081
124	354525	5317886
125	356931	5308643
126	359228	5297914
127	361722	5290194
128	364167	5281844
129	366634	5273899
130	369077	5265688
131	371301	5254478
132	373699	5245841
133	376190	5238596
134	378821	5233353
135	381717	5231781
136	384773	5232352
137	387672	5230764
138	390416	5227081
139	393202	5223979
140	396129	5222725
141	398568	5215076
142	400954	5206805
143	403354	5198791
144	405745	5190738
